generation	repeats	mean	best	mutation rate
403	403	6,886	19,593	0,10000
404	402	6,901	19,371	0,10000
405	402	6,847	19,990	0,10000
406	404	6,859	17,597	0,10000
407	402	6,857	18,102	0,10000
408	405	6,843	18,493	0,10000
409	403	6,847	18,937	0,10000
410	400	6,862	19,936	0,10000
411	401	6,822	19,650	0,10000
412	404	6,830	17,445	0,10000
413	401	6,829	18,026	0,10000
414	401	6,827	21,954	0,10000
415	401	6,844	23,712	0,10000
416	401	6,894	23,441	0,10000
417	400	6,910	20,309	0,10000
418	401	6,935	21,213	0,10000
419	401	6,950	18,077	0,10000
420	402	6,902	18,896	0,10000
421	405	6,920	18,692	0,10000
422	401	6,927	19,014	0,10000
423	402	6,908	20,266	0,10000
424	401	6,898	19,938	0,10000
425	401	6,854	18,907	0,10000
426	404	6,850	19,012	0,10000
427	402	6,893	18,734	0,10000
428	400	6,861	17,771	0,10000
429	400	6,855	19,308	0,10000
430	403	6,882	18,100	0,10000
431	404	6,903	19,132	0,10000
432	400	6,885	18,697	0,10000
433	402	6,864	17,284	0,10000
434	402	6,844	20,646	0,10000
435	405	6,888	18,982	0,10000
436	402	6,905	19,971	0,10000
437	401	6,897	19,947	0,10000
438	402	6,855	21,103	0,10000
439	401	6,830	20,917	0,10000
440	401	6,819	17,265	0,10000
441	401	6,869	19,694	0,10000
442	405	6,887	20,136	0,10000
443	401	6,895	18,655	0,10000
444	402	6,905	19,091	0,10000
445	400	6,851	19,188	0,10000
446	403	6,792	21,396	0,10000
447	401	6,782	21,111	0,10000
448	402	6,763	21,529	0,10000
449	401	6,731	20,767	0,10000
450	400	6,720	19,508	0,10000
451	402	6,704	17,603	0,10000
452	403	6,716	21,053	0,10000
453	403	6,763	18,051	0,10000
454	401	6,773	18,549	0,10000
455	401	6,770	18,130	0,10000
456	401	6,789	18,605	0,10000
457	401	6,785	19,017	0,10000
458	402	6,737	17,776	0,10000
459	404	6,759	18,747	0,10000
460	403	6,709	17,169	0,10000
461	402	6,711	17,336	0,10000
462	404	6,724	17,962	0,10000
463	406	6,761	18,355	0,10000
464	400	6,773	19,330	0,10000
465	402	6,796	17,221	0,10000
466	404	6,779	19,131	0,10000
467	403	6,763	19,097	0,10000
468	400	6,772	21,300	0,10000
469	403	6,761	21,564	0,10000
470	402	6,755	23,746	0,10000
471	402	6,752	20,533	0,10000
472	400	6,756	19,300	0,10000
473	400	6,763	19,668	0,10000
474	400	6,783	21,085	0,10000
475	401	6,813	19,624	0,10000
476	405	6,809	18,755	0,10000
477	401	6,808	20,020	0,10000
478	405	6,806	18,902	0,10000
479	402	6,803	18,577	0,10000
480	400	6,793	19,033	0,10000
481	402	6,738	19,487	0,10000
482	400	6,766	19,813	0,10000
483	403	6,740	20,500	0,10000
484	402	6,754	18,840	0,10000
485	402	6,777	20,449	0,10000
486	404	6,784	19,565	0,10000
487	401	6,797	18,041	0,10000
